mesh_descriptor_ui,mesh_descriptor
D012913,Snoring
D012719,Setariasis
D061985,Madin Darby Canine Kidney Cells
D000436,Alcoholics Anonymous
D015001,Yaws
D011185,Postpericardiotomy Syndrome
D065568,Oral Mucosal Absorption
D003781,Denture Retention
D055536,Vagus Nerve Stimulation
D061329,Oil and Gas Fields
D053209,Herbicide Resistance
D000071838,Fibrillin-1
D001269,Atlanto-Occipital Joint
D012562,"Schizophrenia, Disorganized"
D001887,Boredom
D019416,Head Movements
D003712,Dendrites
D034823,Tradescantia
D017398,Alternative Splicing
D013195,Stanford-Binet Test
D000093102,Motorized Mobility Scooter
D057186,Comparative Effectiveness Research
D000076064,Drug Misuse
D000631,Aminopyridines
D002358,"Cartilage, Articular"
D066279,Courage
D031207,Tussilago
D019570,Inhalation Exposure
D057767,Kashin-Beck Disease
D002810,Chondroitinases and Chondroitin Lyases
D002950,Citrate (si)-Synthase
D001798,Blood Proteins
D003972,Diathermy
D015609,Organotechnetium Compounds
D066298,In Vitro Techniques
D051299,Post-Dural Puncture Headache
D042083,Methylocystaceae
D016041,Heart-Lung Transplantation
D010466,Perceptual Closure
D008961,"Models, Structural"
D029790,Ephedra sinica
D011205,Povidone
D014015,Tissue Banks
D010442,"Peptide Chain Initiation, Translational"
D010166,Palliative Care
D054066,"Leukemia, Large Granular Lymphocytic"
D061214,Patient Safety
D002443,Ceftriaxone
D000074020,"ATP Binding Cassette Transporter, Subfamily B, Member 11"
D000080,Acetals
D006159,Guanosine Tetraphosphate
D053783,"Magnetic Resonance Imaging, Interventional"
D015444,Exercise
D017360,Arabidopsis
D032801,Iridectomy
D065326,Children's Health Insurance Program
D012866,Skilled Nursing Facilities
D002914,Chylomicrons
D059289,Vascular Stiffness
D000090044,Rapid On-site Evaluation
D005458,Fluoride Poisoning
D008220,Lymphography
D017143,Fuzzy Logic
D000081026,Polyprenols
D012532,Scabies
D000588,Amines
D000077613,Etoricoxib
D003452,Cryosurgery
D005832,"Genital Diseases, Male"
D005074,"Evoked Potentials, Visual"
D000080062,Protein-Arginine Deiminase Type 1
D056948,Orthognathic Surgical Procedures
D000078724,Pea Proteins
D010486,Periapical Tissue
D003956,Dialysis
D009071,Moxibustion
D001626,Bethanechol Compounds
D025121,Myosin Type IV
D040861,"Ethics, Business"
D055167,Dekkera
D008093,"Literature, Modern"
D010783,Photometry
D010314,Partial Thromboplastin Time
D030562,"Databases, Protein"
D031952,Ceanothus
D013021,South Australia
D000536,Aluminum Hydroxide
D039282,Mirabilis
D063148,Plant Dispersal
D014433,Tympanoplasty
D017379,"Hypertrophy, Left Ventricular"
D005693,Galactosemias
D001898,Borrelia
D008673,"Metals, Alkaline Earth"
D008300,Maleic Hydrazide
D003162,Competency-Based Education
D053683,Oncostatin M
D041542,Thermoproteus
D009151,Mustard Gas
D062165,"Receptors, Artificial"
D000080546,Space Research
D011295,Prenatal Care
D054525,Minority Health
D000071039,Perirhinal Cortex
D002327,Cariostatic Agents
D005287,Ferredoxin-NADP Reductase
D007911,Lentigo
D004488,Edema Disease of Swine
D017564,Radiation Pneumonitis
D013296,Streptococcus pneumoniae
D009699,N-Glycosyl Hydrolases
D058973,"Folate Receptors, GPI-Anchored"
D006218,Halofenate
D000068897,Iridescence
D011838,Radiation-Sensitizing Agents
D032341,Withania
D000081183,Codon Usage
D000565,Ameloblasts
D007164,Immunosorbents
D000081364,Multiparametric Magnetic Resonance Imaging
D029759,Calophyllum
D013958,Thyroid Crisis
D005710,Gallium Radioisotopes
D000083842,Masked Mycotoxins
D007571,Jaw Diseases
D055263,Mucin-3
D004172,Diplopia
D051796,Inhibitor of Differentiation Proteins
D054539,Medication Therapy Management
D017272,Celiprolol
D038801,International Classification of Diseases
D003007,Clopidol
D000078303,Data Aggregation
D056511,Metallochaperones
D006325,Heart Atria
D008886,Military Hygiene
D033882,Transferrin-Binding Protein B
D017523,Croatia
D056305,Genu Varum
D011151,Popliteal Cyst
D045783,Clove Oil
D004464,Econazole
D007780,Lactobacillus casei
D011233,Precipitin Tests
D008731,Methoxychlor
D000092864,Suicide Prevention
D020349,Surface Plasmon Resonance
D008854,"Microscopy, Electron"
D050220,Glugea
D000077607,Icodextrin
D054504,"Precursor Cells, T-Lymphoid"
D000077682,Triclabendazole
D044863,Campylobacter lari
D002678,Chimera
D002123,Calcium Dobesilate
D000611,Aminobiphenyl Compounds
D009514,Vanuatu
D000089982,ADP-Ribosylation Factor 6
D043882,"Receptors, Cannabinoid"
D010098,Oxycodone
D005533,Foot Dermatoses
D015012,Yersinia pseudotuberculosis Infections
D002512,Cephalothin
D003200,Computer User Training
D002653,Child Behavior Disorders
D000084444,Thermotoga
D020144,Basal Ganglia Cerebrovascular Disease
D003582,Cytogenetics
D000080891,Learning Health System
D018859,Hair Follicle
D029845,Amphibian Proteins
D000077,Acetabulum
D011679,Pupa
D002252,Carbon Tetrachloride Poisoning
D014266,Trientine
D011782,Quadriplegia
D003818,"Dentition, Mixed"
D007190,Indapamide
D054238,Perinatal Mortality
D016280,"Atrial Function, Right"
D013586,"Synovitis, Pigmented Villonodular"
D006929,Hyperaldosteronism
D032161,Antirrhinum
D009149,Mustard Plant
D018481,Convection
D012810,Sigmoid Diseases
D019757,Carbon-Oxygen Lyases
D001215,Asparaginase
D064807,Anticholinergic Syndrome
D013597,Systems Analysis
D019093,"Circumcision, Female"
D011857,"Radiographic Image Interpretation, Computer-Assisted"
D000070076,Enterococcus hirae
D015685,"Fusion Proteins, gag-pol"
D019599,"Mossy Fibers, Hippocampal"
D026342,"AGAMOUS Protein, Arabidopsis"
D000070099,Streptococcus gallolyticus
D054545,United States Office of National Drug Control Policy
D000095224,Southeast Asian People
D012013,Reference Books
D029758,Cistus
D016222,Fibroblast Growth Factor 2
D064827,Myocutaneous Flap
D000093922,Congenital Cranial Dysinnervation Disorders
D008647,Mesocricetus
D000087983,Sound Recordings
D064422,Ambulance Diversion
D039842,Neural Cell Adhesion Molecule L1
D000080122,Edible Films
D000855,Anorexia
D014369,Tryptophan-tRNA Ligase
D008036,Lingual Nerve
D015057,1-Naphthylamine
D019259,Lamivudine
D020132,"Anticipation, Genetic"
D051996,Transcription Factor RelA
D031295,Griffonia
D029646,Tiliaceae
D010606,Pharmacy and Therapeutics Committee
D016532,Mucopolysaccharidosis II
D000094622,Popliteal Artery Aneurysm
D000075723,Kruppel-Like Factor 6
D020307,Eagles
D016314,Ethylketocyclazocine
D014795,Visual Pathways
D003238,Connective Tissue
D055392,Armillaria
D028961,beta Karyopherins
D007517,Isoamylase
D010336,Pathology
D014019,Tissue Donors
D000087503,mRNA Vaccines
D020237,"Alexia, Pure"
D000077022,Survivin
D013582,Synovial Fluid
D000077525,Cefdinir
D014316,Tritium
D010224,"Parainfluenza Virus 3, Human"
D001442,Bacteroides Infections
D000489,Alligators and Crocodiles
D052287,Oviparity
D014887,Weather
D000076624,Built Environment
D001204,Ascorbate Oxidase
D032022,"Delegation, Professional"
D031168,Matricaria
D059039,Standard of Care
D000082182,Clonal Hematopoiesis
D016366,Open Reading Frames
D010674,Pheophytins
D007560,Cote d'Ivoire
D015416,Maillard Reaction
D054561,National Institute on Aging (U.S.)
D005573,Formycins
D007185,Incubators
D010404,Penicillin V
D006968,"Hypersensitivity, Delayed"
D001324,Autoantigens
D016958,Pseudomonas putida
D009461,Neurologic Manifestations
D011309,"Preservation, Biological"
D011322,Primary Prevention
D055158,Velopharyngeal Sphincter
D000079644,Military Health
D000063,"Accidents, Traffic"
D064190,"Apc2 Subunit, Anaphase-Promoting Complex-Cyclosome"
D007500,Iritis
D003883,Arthrodermataceae
D012931,Social Environment
D020255,Vitreous Detachment
D004930,Inuits
D017261,Glycosylphosphatidylinositols
D031581,Banisteriopsis
D013055,"Spectrophotometry, Infrared"
D003146,Communications Media
D001793,Blood Preservation
D014473,"Unconscious, Psychology"
D009671,Nostrums
D007721,"Knowledge of Results, Psychological"
D048209,Echinococcus granulosus
D001149,Arsenates
D000067778,ELAV-Like Protein 3
D004388,Dura Mater
D006618,"Hip Dislocation, Congenital"
D016559,Tacrolimus
D009147,Music Therapy
D054972,Postural Orthostatic Tachycardia Syndrome
D012688,Septum Pellucidum
D058924,Thienopyridines
D053039,Ureterolithiasis
D056929,Liddle Syndrome
D055136,Neocallimastigomycota
D057826,Vitelliform Macular Dystrophy
D016612,Paraffin Embedding
D001335,Vehicle Emissions
D065129,Pre-Exposure Prophylaxis
D007970,Leukopenia
D012955,"Societies, Medical"
D019564,Unnecessary Procedures
D002467,Cell Nucleus
D062088,Acellular Dermis
D009409,Nerve Crush
D052697,Bovine papillomavirus 4
D006836,Hydro-Lyases
D000078122,Eucalyptus Oil
D007188,Incus
D049871,Tritonia Sea Slug
D058250,Dental Restoration Repair
D029022,Acoraceae
D012050,"Rehabilitation, Vocational"
D005347,Fibroblasts
D013085,Spermatic Cord
D007235,"Infant, Premature, Diseases"
D001760,Bleeding Time
D000082702,Default Mode Network
D004365,"Drugs, Chinese Herbal"
D000077867,Tolcapone
D017972,"Lentiviruses, Ovine-Caprine"
D055949,Vasa Previa
D000974,"Antibodies, Antinuclear"
D013168,Spondylolisthesis
D019558,Occlusal Adjustment
D019848,"Gene Expression Regulation, Archaeal"
D040921,"Stress Disorders, Traumatic"
D005190,Family
D000071449,Proprotein Convertase 9
D034461,Luteinization
D012302,Rinderpest virus
D033921,Vesicular Transport Proteins
D000094802,beta-D-Galactoside alpha 2-6-Sialyltransferase
D050936,Basic Reproduction Number
D050476,Bowman Capsule
D012595,"Scleroderma, Systemic"
D064699,Dexmethylphenidate Hydrochloride
D007296,Myo-Inositol-1-Phosphate Synthase
D017985,Dalteparin
D050832,Interferon-Stimulated Gene Factor 3
D051131,"Receptors, Oxidized LDL"
D003355,Corynebacterium pyogenes
D016913,Blood Component Transfusion
D014145,Trail Making Test
D057748,Mesotherapy
D040262,"Receptors, Vascular Endothelial Growth Factor"
D012349,"RNA, Transfer, Asp"
D053058,Trophozoites
D000072439,Postcards as Topic
D007101,Immersion
D000091722,Systemic Racism
D019017,Eritrea
D058568,Necrolytic Migratory Erythema
D051904,Smad8 Protein
D006528,"Carcinoma, Hepatocellular"
D008180,"Lupus Erythematosus, Systemic"
D005067,Euthyroid Sick Syndromes
D008040,Genetic Linkage
D047489,Preconception Injuries
D006476,Hantavirus
D019397,"Pancreas, Artificial"
D016764,Cell Polarity
D049294,Phospholipid Transfer Proteins
D009472,Neuronal Ceroid-Lipofuscinoses
D030003,Levisticum
D000070496,Kinanthropometry
D012842,"Sarcoma Virus, Woolly Monkey"
D031283,Eucommiaceae
D017185,Angiostrongylus cantonensis
D008271,Mycetoma
D053583,Interleukin-1beta
D010728,Phosphoenolpyruvate
D043862,Rotaxanes
D056465,Retinoblastoma-Binding Protein 1
D001271,Atlases as Topic
D018126,Odontodysplasia
D009276,Namibia
D000473,Alkanes
D012655,Self-Evaluation Programs
D000557,Ambystoma
D015463,"Leukemia, Prolymphocytic"
D016569,Blepharophimosis
D002240,Carbohydrate Sequence
D009010,Monte Carlo Method
D054044,Weapons of Mass Destruction
D013529,Surgical Wound Dehiscence
D002552,Cerebral Ventricles
D061385,Insulins
D000095782,Oral Frenectomy
D005670,Fusarium
D006334,Heart Function Tests
D011772,"Pyruvate, Orthophosphate Dikinase"
D010723,3-Deoxy-7-Phosphoheptulonate Synthase
D037361,Adenylate Cyclase Toxin
D011320,Primary Health Care
D012742,Sex Offenses
D063175,Mandibular Reconstruction
D016882,ISCOMs
D000088482,Dense Core Vesicles
D000881,Anthrax
D016883,Diabetic Ketoacidosis
D000086682,Indigenous Canadians
D004302,Dorsomedial Hypothalamic Nucleus
D005483,Flushing
D037322,"Thyrotropin, beta Subunit"
D019232,Dental Restoration Failure
D008449,Maximal Expiratory Flow-Volume Curves
D014910,Wheelchairs
D008377,Maps as Topic
D011888,Rafoxanide
D000077322,Alginic Acid
D014036,Togaviridae Infections
D000077589,Sulfathiazole
D064229,Biological Ontologies
D013660,Taxes
D046128,Fetal Therapies
D044950,Flavanones
D001382,Azerbaijan
D000069996,Lactobacillus salivarius
D017307,Xamoterol
D012825,Silicon
D053645,Interleukin-2 Receptor alpha Subunit
D011951,"Receptors, Complement"
D004123,Dimethylamines
D018889,Ilizarov Technique
D016707,Tissue Fixation
D000092126,PPAR-gamma Agonists
D010123,Oxyuriasis
D010522,Periostitis
D002194,Capgras Syndrome
D026601,Protein D-Aspartate-L-Isoaspartate Methyltransferase
D010353,Patient Education as Topic
D059328,Diffuse Noxious Inhibitory Control
D053449,TNF Receptor-Associated Factor 4
D012005,Rectal Prolapse
D058309,"Receptors, Prostaglandin E, EP4 Subtype"
D000097906,RNA Methylation
D011953,"Receptors, Cyclic AMP"
D008041,Linoleic Acids
D011851,Radioactivity
D043422,Carboxypeptidases A
D055991,"Health Records, Personal"
D010364,"Pattern Recognition, Visual"
D000067290,Behavior Rating Scale
D007666,Khellin
D017613,Iodine Compounds
D018154,Slovakia
D018540,Uranus
D000076263,"Communicable Diseases, Imported"
D019692,Prochlorothrix
D014924,Wissler's Syndrome
D006871,Hydrophthalmos
D062609,Electronic Nose
D012530,Saxitoxin
D017322,"Clinical Trials, Phase II as Topic"
D029622,Portulacaceae
D008570,"Memory, Short-Term"
D045502,Helicobacter mustelae
D065087,Acetylcholine Release Inhibitors
D019405,Cytochrome P-450 CYP11B2
D032066,Morinda
D000071378,Bunion
D000073567,Fagales
D005452,Fluoresceins
D002757,Cholanes
D000092464,Elbow Injuries
D005665,Furosemide
D012812,Sigmoidoscopy
D026921,"Amino Acid Transport Systems, Neutral"
D016967,Fusobacterium nucleatum
D047308,Arbacia
D011907,Rate Setting and Review
D010425,Pentolinium Tartrate
D014247,Trichomonas Vaginitis
D000072739,Sentinel Species
D041561,Thermofilaceae
D012894,Sleep Stages
D009531,Niceritrol
D031666,Epilobium
D032961,Sperm Midpiece
D052239,Fanconi Anemia Complementation Group E Protein
D004341,Drug Evaluation
D016596,Vinculin
D054562,"Protein Tyrosine Phosphatase, Non-Receptor Type 1"
D050598,Vesicular Glutamate Transport Protein 1
D033963,Adaptor Protein Complex 3
D009421,Nervous System Malformations
D009207,Myoclonus
D014233,Tricarboxylic Acids
D013347,Subcellular Fractions
D018094,"Receptors, Metabotropic Glutamate"
D065311,Adenocarcinoma in Situ
D008208,Lymphatic System
D017543,Iliac Aneurysm
D016172,DNA Fingerprinting
D041623,"Tomography, Optical Coherence"
D013250,Steroid Hydroxylases
D043925,Angiogenesis Inducing Agents
D016746,Transcultural Nursing
D059229,"Osteotomy, Sagittal Split Ramus"
D050984,"NF-E2 Transcription Factor, p45 Subunit"
D000097642,GADD45 Proteins
D051940,B7-2 Antigen
D016643,"Encephalopathy, Bovine Spongiform"
D006636,Histamine Release
D000074924,Nut and Peanut Hypersensitivity
D039902,Multipotent Stem Cells
D001390,Azlocillin
D055655,NK Cell Lectin-Like Receptor Subfamily K
D063405,Anatomic Variation
D006215,Hallux Valgus
D056732,Prolidase Deficiency
D039223,Cleavage And Polyadenylation Specificity Factor
D012925,Social Conformity
D034001,Adaptor Protein Complex Subunits
D007064,L-Iditol 2-Dehydrogenase
D063307,AU Rich Elements
D017127,"Glycation End Products, Advanced"
D008061,Whipple Disease
D013621,Taenia
D002334,Carnitine O-Palmitoyltransferase
D006270,Health Facility Administrators
D041401,Leptospira interrogans serovar pomona
D008812,"Mice, Hairless"
D011070,Poly I-C
D007031,Hypothalamus
D002172,Canavanine
D017248,Enzyme Multiplied Immunoassay Technique
D005812,"Genes, Switch"
D009043,Motor Activity
D008456,2-Methyl-4-chlorophenoxyacetic Acid
D010632,Pheniramine
D002602,Chancroid
D000072260,RNA Splicing Factors
D000073566,Eutheria
D020843,Chamomile
D008686,Metestrus
D001483,Base Sequence
D008577,Meningeal Neoplasms
D018418,Th2 Cells
D000082123,Paraduodenal Hernia
D000068342,"Aspirin, Dipyridamole Drug Combination"
D009553,Nimodipine
D010000,Osteitis
D003683,Dehydroascorbic Acid
D007966,"Leukodystrophy, Metachromatic"
D011393,Procollagen-Proline Dioxygenase
D012107,Research Design
D016122,Brachiocephalic Trunk
D020869,Gene Expression Profiling
D014201,Trematode Infections
D001902,Botswana
D011785,"Quality Assurance, Health Care"
D000081225,Stilbestrols
D009837,Oligodendroglioma
D002474,Cell-Free System
D000609,Aminoacridines
D017467,"Receptors, Erythropoietin"
D012373,Rocky Mountain Spotted Fever
D017098,IgA Deficiency
D051785,Smad Proteins
D013920,"Thrombocythemia, Essential"
D019980,Amoxicillin-Potassium Clavulanate Combination
D054634,"Receptor-Like Protein Tyrosine Phosphatases, Class 7"
D051185,gamma Catenin
D011770,Pyruvate Kinase
D016510,Corneal Neovascularization
D060731,Emergency Responders
D000070096,Pseudomonas chlororaphis
D010278,Parathion
D031001,Aceraceae
D063191,Odonata
D027844,Vitaceae
D058494,Walker-Warburg Syndrome
D007251,"Influenza, Human"
D051049,Sphingosine N-Acyltransferase
D014812,Vitamin K
D000173,Acromioclavicular Joint
D002003,Brucella abortus
D007373,Interinstitutional Relations
D027806,Lens Plant
D013121,Spinal Curvatures
D063345,Oligodendrocyte-Myelin Glycoprotein
D011024,"Pneumonia, Viral"
D046730,"Colitis, Lymphocytic"
D011915,"Rats, Inbred BUF"
D019005,Cystic Fibrosis Transmembrane Conductance Regulator
D013101,Sphenoid Sinus
D001788,Blood Grouping and Crossmatching
D000358,African Swine Fever Virus
D007223,Infant
D009848,Olivomycins
D033741,Adenine Nucleotide Translocator 1
D059586,Duddingtonia
D015120,6-Aminonicotinamide
D005531,"Foot Deformities, Acquired"
D007270,"Injections, Intra-Articular"
D000071959,Case Managers
D008552,Melengestrol Acetate
D002100,Cachexia
D017173,Caenorhabditis elegans
D000085542,Functional Status
D009316,National Institutes of Health (U.S.)
D050172,"Genes, X-Linked"
D015425,Myocardial Reperfusion
D013054,"Spectrophotometry, Atomic"
D012437,Adenosylmethionine Decarboxylase
D049912,Growth Hormone-Secreting Pituitary Adenoma
D048789,Phytoestrogens
D031381,Lecythidaceae
D000074386,Gender-Based Violence
D000071916,AC133 Antigen
D018968,CD58 Antigens
D006835,Hydrazones
D019260,Expressed Emotion
D015633,Extravascular Lung Water
D059388,Pelvic Girdle Pain
D016386,Chromosome Walking
D020704,Laryngoscopes
D000643,Ammonium Chloride
D004433,Earache
D018048,"Receptors, Purinergic P2"
D018077,"Receptors, Leukotriene"
D015145,Tocolysis
D000067699,Ataxin-3
D017211,Treatment Failure
D018053,Arsenites
D018078,"Receptors, Prostaglandin E"
D062686,Epithelial Sodium Channel Blockers
D042481,Alcaligenes faecalis
D009077,Mucins
D055948,Sarcopenia
D004093,Dihydropteridine Reductase
D008794,Metrizoic Acid
D003092,Colitis
D000093665,Septate Uterus
D011914,"Rats, Inbred BN"
D000081011,Hepatic Infarction
D054771,G-Protein-Coupled Receptor Kinase 4
D015013,Yoga
D000068218,Prunus africana
D020412,Multifactorial Inheritance
D005082,Physical Exertion
D007085,Ilium
D003327,Coronary Disease
D007644,Darier Disease
D001391,Azo Compounds
D003524,Cyclosporins
D054198,Precursor Cell Lymphoblastic Leukemia-Lymphoma
D004068,Digestive System Physiological Phenomena
D000080550,Macroautophagy
D044662,Macrocystis
D048668,Lactobacillus delbrueckii
D011758,Pyrroles
D018421,Cardiomyoplasty
D004578,Electron Spin Resonance Spectroscopy
D046428,Hawks
D000093846,Sophora japonica
D025701,Asfarviridae
D004116,Dimethisterone
D009162,Mycobacterium avium
D020443,Practice Valuation and Purchase
D002876,"Chromosomes, Bacterial"
D052798,Balanitis Xerotica Obliterans
D000511,alpha-Macroglobulins
D020165,Carbamoyl-Phosphate Synthase I Deficiency Disease
D000082142,Mast Cell Stabilizers
D054563,National Institute on Alcohol Abuse and Alcoholism (U.S.)
D013265,Stigmasterol
D002626,"Chemistry, Pharmaceutical"
D000092005,Insulin Secretagogues
D057187,Independent Living
D008450,Maximal Midexpiratory Flow Rate
D006605,Hibernation
D003249,Constitution and Bylaws
D053706,Typhlitis
D000624,5-Aminolevulinate Synthetase
D056654,"CA3 Region, Hippocampal"
D000072040,Apolipoprotein A-V
D010724,Phosphoadenosine Phosphosulfate
D003424,Crohn Disease
D050959,Glycine Decarboxylase Complex
D007574,Jaw Relation Record
D025021,Cementogenesis
D000452,Aldrin
D005536,Foot-and-Mouth Disease
D057586,Vitreoretinal Surgery
D053060,West Nile Virus Vaccines
D037741,Fullerenes
D027623,Yucca
D008078,"Cholesterol, LDL"
D014681,Velopharyngeal Insufficiency
D053318,Apolipoprotein E3
D007678,Kidney Glomerulus
D020734,Parkinsonian Disorders
D002198,Capillary Fragility
D011061,Poly A
D008088,Listeriosis
D000069549,Ustekinumab
D002461,"Cell Line, Transformed"
D004719,Endomyocardial Fibrosis
D047072,Aromatase Inhibitors
D005518,Food Preferences
D063186,Uterine Myomectomy
D017954,Africa South of the Sahara
D000073939,Dysferlin
D010146,Pain
D022021,Tacrolimus Binding Proteins
D001327,Autoimmune Diseases
D000090265,Klotho Proteins
D017259,Dimaprit
D018490,Serotonin Agents
D011934,Reagent Strips
D000074522,Consumer Health Informatics
D000086462,Coronavirus Nucleocapsid Proteins
D005084,Exhibitionism
D016925,Corynebacterium pseudotuberculosis
D008307,Malleus
D019824,beta-MSH
D006102,"Granuloma, Laryngeal"
D000092422,Venom Hypersensitivity
D000097789,Glucagon-Like Peptide-1 Receptor Agonists
D004434,Early Ambulation
D000077208,Remifentanil
D000093763,Intermittent Fasting
D013862,Thiogalactosides
D000096823,Cough-Variant Asthma
D018266,"Adenocarcinoma, Sebaceous"
D058116,Lewis Acids
D054082,Lissencephaly
D016324,Sequence Tagged Sites
D010573,Pesticide Residues
D000073659,Gain of Function Mutation
D000088662,Adolescent Mothers
D032603,Scopolia
D011050,Policy Making
D001723,Birth Rate
D055051,Salt-Tolerant Plants
D009052,"Leukemia Virus, Murine"
D013125,Spinal Neoplasms
D019400,Tobacco mosaic satellite virus
D009411,Nerve Endings
D035843,Biomedical Research
D000072458,"Orientation, Spatial"
D012124,Respiratory Care Units
D006614,Hindlimb
D001084,Vidarabine Phosphate
D000074341,Dietary Exposure
D008587,"Meningitis, Viral"
D012734,Disorders of Sex Development
D017346,Protein Serine-Threonine Kinases
D013077,Sperm Head
D032301,Cestrum
D020689,Exopeptidases
D009726,Nurses
D005577,Forssman Antigen
D056889,Barth Syndrome
D000086902,Viral Replicase Complex Proteins
D002711,Chloride Peroxidase
D000071458,Death Domain Superfamily
D017682,Myocardial Stunning
D000077743,Diterpene Alkaloids
D025282,Mycelium
D020391,"Muscular Dystrophy, Facioscapulohumeral"
D010359,Patient Readmission
D055539,MP3-Player
D010013,Osteogenesis Imperfecta
D053767,Glucagon-Like Peptide 2
D000193,Actinomycetales Infections
D017719,Diabetic Foot
D000094,Acetoin Dehydrogenase
D031625,Morus
D005830,Geniculate Ganglion
D003688,Deinstitutionalization
D044167,Xylella
D014139,Tracheostomy
D000071740,ORAI1 Protein
D032491,Dryopteridaceae
D011197,Potassium Radioisotopes
D023741,Takifugu
D054678,"Cyclic Nucleotide Phosphodiesterases, Type 2"
D012940,Social Problems
D000246,Adenosine Diphosphate Ribose
D045786,"Diterpenes, Kaurane"
D054411,"Receptors, Leptin"
D053707,"Receptors, Interleukin-12"
D014071,Tooth Abnormalities
D005968,Glutamate Decarboxylase
D012330,"RNA, Double-Stranded"
D017386,"Sequence Homology, Amino Acid"
D055430,Bone Morphogenetic Protein 15
D009567,Nitrazepam
D011744,Pyrimidinones
D012204,Rh-Hr Blood-Group System
D063906,Prisoners of War
D011210,Power Plants
D003529,Cymarine
D050794,STAT1 Transcription Factor
D060946,"Pharmaceutical Services, Online"
D010528,Peristalsis
D018521,Plant Physiological Phenomena
D006725,Hookworm Infections
D050257,Tubulin Modulators
D009690,Nucleic Acid Conformation
D012565,Schizophrenic Psychology
D007545,Isoproterenol
D044149,Vibrio alginolyticus
D031216,Barbarea
D047408,gamma-Cyclodextrins
D000080363,White Dot Syndromes
D019299,"Decompression, Surgical"
D031002,Acer
D006340,"Heart Rate, Fetal"
D014412,Tumor Virus Infections
D051376,Actin-Related Protein 2-3 Complex
D000820,Animal Diseases
D002559,Cerebrospinal Fluid Rhinorrhea
D010675,Pheromones
D032430,Balanites
D000216,N-Acylneuraminate Cytidylyltransferase
D006008,Glycogen Storage Disease
D018670,"Monitoring, Ambulatory"
D017900,Myoviridae
D059471,In Vitro Oocyte Maturation Techniques
D027543,Salvia officinalis
D046029,Coyotes
D000088182,Promyelocytic Leukemia Nuclear Bodies
D000068436,Surgical Clearance
D021901,"DNA, Intergenic"
D000073320,Psycho-Oncology
D061220,Oculomotor Nerve Injuries
D000080583,Ateles geoffroyi
D012048,Correction of Hearing Impairment
D031884,Aquilegia
D013459,Sulfur Hexafluoride
D029223,Ascoviridae
D007627,Keloid
D015485,Deltaretrovirus Antigens
D062950,rho Guanine Nucleotide Dissociation Inhibitor gamma
D007802,Language
D003663,Decision Trees
D009704,Nucleoside Q
D018675,Toxicity Tests
D010740,Phospholipases
D056833,Central Serous Chorioretinopathy
D044946,Biflavonoids
D011786,Quality Control
D000072087,Occupational Therapists
D006515,Hepatitis B virus
D011981,"Receptors, Prolactin"
D015793,HLA-B7 Antigen
D051361,Cyclin-Dependent Kinase 6
D000071737,Stromal Interaction Molecule 1
D030102,"Orthoreovirus, Mammalian"
D019819,Budesonide
D000093983,Information Sources
D012989,Soil Pollutants
D036384,Ephrin-A3
D055533,Survival of Motor Neuron 1 Protein
D045805,Mycoplasma synoviae
D063045,Crowdsourcing
D000074502,"Receptors, Kisspeptin-1"
D064198,"Apc11 Subunit, Anaphase-Promoting Complex-Cyclosome"
D012580,"Schools, Pharmacy"
D018925,Chemokines
D053536,Keratin-16
D005441,Fluids and Secretions
D055170,Plant Root Nodulation
D052686,Betapapillomavirus
D002452,Cell Count
D000068336,Warfare and Armed Conflicts
D014800,Vitallium
D000080845,Sugar-Sweetened Beverages
D058736,Intrauterine Device Migration
D036083,Atractylis
D017041,Ethics Committees
D018570,Risk Assessment
D006595,Hexosamines
D058429,Gnathostomiasis
D054892,Metagenome
D013953,Thymus Neoplasms
D019195,Badnavirus
D012645,Selenomethionine
D014541,Uridine Kinase
D061626,Immunoreceptor Tyrosine-Based Inhibition Motif
D018732,Forensic Anthropology
D000810,Angola
D046289,"Body Modification, Non-Therapeutic"
D011500,Protein Synthesis Inhibitors
D019909,Mycobacterium kansasii
D004639,Emetics
D009110,Munchausen Syndrome
D020691,rab GTP-Binding Proteins
D019430,Guadeloupe
D019094,"Dental Prosthesis, Implant-Supported"
D006276,Health Facility Size
D046148,Donor Selection
D002479,Inclusion Bodies
D010369,Pectoralis Muscles
D059005,Topoisomerase II Inhibitors
D001143,Arousal
D001056,Apolipoproteins C
D000078064,Gestational Weight Gain
D018970,Insulin-Like Growth Factor Binding Protein 1
D050337,Trimethyl Ammonium Compounds
D000171,Acrolein
D007683,"Kidney Tubular Necrosis, Acute"
D058474,"Receptors, Purinergic P2X1"
D003549,Cystic Duct
D019211,Roseolovirus
D000091323,Psychogenic Nonepileptic Seizures
D012826,Silicone Elastomers
D046848,White spot syndrome virus 1
D000080602,Callicebus
D007061,Idaho
D000080422,Locked-In Syndrome
D000070136,Lipid Droplet Associated Proteins
D002499,"Centrifugation, Density Gradient"
D019512,"Pancreatitis, Alcoholic"
D005178,Faculty
D000077273,"Thyroid Cancer, Papillary"
D011625,Pterygium
D004608,Eligibility Determination
D013429,Sulfatases
D013652,Taste Threshold
D006363,Hebrides
D020830,rac1 GTP-Binding Protein
D000069480,"Emtricitabine, Tenofovir Disoproxil Fumarate Drug Combination"
D002492,Central Nervous System Depressants
D000777,Anesthetics
D029582,Meliaceae
D014432,Tympanic Membrane
